month,practice,pct,chemical_code,chemical,carbonate,citrate,total_lithium,total_cost
2010-10-01 00:00:00+00:00,Y00597,01W,0402030K0,Lithium Carbonate,2,0,2,0.22999999999999998
2010-10-01 00:00:00+00:00,E87670,08Y,0402030K0,Lithium Carbonate,1,0,1,3.48
2010-10-01 00:00:00+00:00,P81629,00R,0402030K0,Lithium Carbonate,5,0,5,6.17
2010-10-01 00:00:00+00:00,Y00417,RYG,0402030K0,Lithium Carbonate,7,0,7,5.1000000000000005
2010-10-01 00:00:00+00:00,D82615,06Y,0402030K0,Lithium Carbonate,2,0,2,4.06
2010-10-01 00:00:00+00:00,M92036,06A,0402030K0,Lithium Carbonate,6,0,6,2.5
2010-10-01 00:00:00+00:00,Y02565,03N,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-10-01 00:00:00+00:00,Y01897,15M,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-10-01 00:00:00+00:00,Y02241,RYG,0402030K0,Lithium Carbonate,4,0,4,9.639999999999999
2010-10-01 00:00:00+00:00,M81636,05J,0402030K0,Lithium Carbonate,1,0,1,0.15
2010-10-01 00:00:00+00:00,P88628,01W,0402030K0,Lithium Carbonate,2,0,2,0.8500000000000001
2010-10-01 00:00:00+00:00,L83126,15N,0402030K0,Lithium Carbonate,2,0,2,3.52
2010-10-01 00:00:00+00:00,Y00622,NTP,0402030K0,Lithium Carbonate,1,0,1,2.68
2010-10-01 00:00:00+00:00,J83634,12D,0402030K0,Lithium Carbonate,3,0,3,8.45
2010-10-01 00:00:00+00:00,Y00419,RYG,0402030K0,Lithium Carbonate,2,0,2,2.09
2010-10-01 00:00:00+00:00,Y01208,11A,0402030K0,Lithium Carbonate,1,0,1,2.57
2010-10-01 00:00:00+00:00,K84615,10Q,0402030K0,Lithium Carbonate,2,0,2,4.07
2010-10-01 00:00:00+00:00,Y02595,99A,0402030K0,Lithium Carbonate,1,0,1,1.76
2010-10-01 00:00:00+00:00,H82625,09G,0402030K0,Lithium Carbonate,4,0,4,9.24
2010-10-01 00:00:00+00:00,Y00617,99M,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-10-01 00:00:00+00:00,Y01065,5QH,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-10-01 00:00:00+00:00,E83667,07M,0402030K0,Lithium Carbonate,10,0,10,8.629999999999999
2010-10-01 00:00:00+00:00,P84662,14L,0402030K0,Lithium Carbonate,2,0,2,4.32
2010-10-01 00:00:00+00:00,H81655,09N,0402030K0,Lithium Carbonate,1,0,1,1.42
2010-10-01 00:00:00+00:00,M83019,05G,0402030K0,Lithium Carbonate,2,0,2,1.52
2010-10-01 00:00:00+00:00,D82620,06W,0402030K0,Lithium Carbonate,10,0,10,9.89
2010-10-01 00:00:00+00:00,M91630,5M3,0402030K0,Lithium Carbonate,2,0,2,1.52
2010-10-01 00:00:00+00:00,C85609,02P,0402030K0,Lithium Carbonate,10,0,10,6.499999999999999
2010-10-01 00:00:00+00:00,Y00987,RY6,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-10-01 00:00:00+00:00,C84674,04K,0402030K0,Lithium Carbonate,2,0,2,5.24
2010-10-01 00:00:00+00:00,Y02210,14L,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-10-01 00:00:00+00:00,P88033,01W,0402030K0,Lithium Carbonate,3,0,3,3.47
2010-10-01 00:00:00+00:00,P84646,14L,0402030K0,Lithium Carbonate,2,0,2,0.93
2010-10-01 00:00:00+00:00,C81079,15M,0402030K0,Lithium Carbonate,3,0,3,3.7199999999999998
2010-10-01 00:00:00+00:00,Y01815,06Q,0402030K0,Lithium Carbonate,1,0,1,0.22
2010-10-01 00:00:00+00:00,N81104,02F,0402030K0,Lithium Carbonate,4,0,4,5.81
2010-10-01 00:00:00+00:00,K81632,11D,0402030K0,Lithium Carbonate,2,0,2,6.9399999999999995
2010-10-01 00:00:00+00:00,P81705,01E,0402030K0,Lithium Carbonate,2,0,2,2.98
2010-10-01 00:00:00+00:00,E87766,09A,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-10-01 00:00:00+00:00,Y01188,00Y,0402030K0,Lithium Carbonate,8,0,8,2.58
